"Cluster","adj.Pval","nGenes","Pathways","Genes"
"B",6.53031377215394e-12,97,"Synapse ","Prrt1 Nptx2 Slc29a4 Bcr Slc8a2 Dvl3 Tnr Tnn Lamc1 Grin2c Nptx1 Nlgn3 Syt2 Ptprn2 Slc6a11 Pclo Dlg5 Nectin1 Sorcs2 Atp1a2 Tspoap1 Stac3 Syn2 Gjd2 Drd2 Actc1 Cntn2 Nr1d1 Sez6 Syn1 Chrna7 Tmem108 Ank2 Clstn3 Atp1b2 Grin1 Dlgap2 Postn Glra1 Iqsec3 Capn5 Dlgap3 Apba1 Sparcl1 Stxbp1 Nlgn2 Clstn1 Clu Bace1 Shisa7 Map1b Actn2 Sv2c Slc12a5 Ank1 Chrna1 Tln2 Camk2a Bcan Ntrk2 Atg9a Ap3d1 Shank1 Ablim3 Dag1 Chrnd Syt9 Kcna1 Sypl2 Agrn Dlgap4 Atp1a3 Cntnap1 Grik5 Grin2d Crtc1 Kif1a Sdk2 Dagla Acan Adgrl1 Atp1a1 Atp2b2 Bsn Ptprt Apc2 Dnm1 Efna5 Clstn2 LOC103689931 Ptprs Wasf1 Sptbn2 Adcy1 Cacna1g Git1 Atp2b3"
"B",1.16409135845028e-10,69,"Supramolecular polymer ","Numa1 Camsap3 Eln Whrn Gdpd2 Col1a1 Dync1h1 Flnc Klhl41 Smpx Smtnl1 Abra Mfap2 Actc1 Nefh Tnni1 Snph Dctn1 Ank2 Myom2 Nefm Kifc3 Map1a Kif21a Tnnc2 Jup Col4a1 Nrap Myh7 Ryr2 Map1b Acta1 Actn2 Ank1 Dag1 Actn3 Myh14 Tnni2 Tnnt3 Ryr1 Hrc Ltbp4 Myl3 Plec Kif1a Map6 Wipf2 AC141959.1 Kif26b Myl2 Lmod3 Dysf Apc2 Myoz1 Lmod2 Cacna1s Myh3 Myot Tubb4a Myh4 LOC100909761 Clip3 Sptbn4 Myom1 Acta2 Obscn Col2a1 Ldb3 AABR07030443.2"
"B",1.78943071148314e-10,68,"Supramolecular fiber ","Numa1 Camsap3 Eln Whrn Gdpd2 Col1a1 Dync1h1 Flnc Klhl41 Smpx Smtnl1 Abra Mfap2 Actc1 Nefh Tnni1 Snph Dctn1 Ank2 Myom2 Nefm Kifc3 Map1a Kif21a Tnnc2 Jup Nrap Myh7 Ryr2 Map1b Acta1 Actn2 Ank1 Dag1 Actn3 Myh14 Tnni2 Tnnt3 Ryr1 Hrc Ltbp4 Myl3 Plec Kif1a Map6 Wipf2 AC141959.1 Kif26b Myl2 Lmod3 Dysf Apc2 Myoz1 Lmod2 Cacna1s Myh3 Myot Tubb4a Myh4 LOC100909761 Clip3 Sptbn4 Myom1 Acta2 Obscn Col2a1 Ldb3 AABR07030443.2"
"B",5.89412612128052e-10,43,"External encapsulating structure ","Col11a2 Eln Dmp1 Tnr Tnn Lamc1 LOC103693323 Sod3 Col1a1 Shh AABR07049085.1 Elfn2 Mfap2 Lrrn2 Mmp15 Postn Lrig1 Nav2 Sparcl1 Col4a1 Lingo1 Mmp9 Bcan Dag1 Vwf Agrn Ltbp3 Ltbp4 Ecm1 Atrn AABR07073181.1 Reln Lingo4 Mmp17 Acan Lingo3 Efna5 Lrrc15 LOC102553715 LOC100909913 Hapln4 Col2a1 Lamc3"
"B",5.89412612128052e-10,43,"Extracellular matrix ","Col11a2 Eln Dmp1 Tnr Tnn Lamc1 LOC103693323 Sod3 Col1a1 Shh AABR07049085.1 Elfn2 Mfap2 Lrrn2 Mmp15 Postn Lrig1 Nav2 Sparcl1 Col4a1 Lingo1 Mmp9 Bcan Dag1 Vwf Agrn Ltbp3 Ltbp4 Ecm1 Atrn AABR07073181.1 Reln Lingo4 Mmp17 Acan Lingo3 Efna5 Lrrc15 LOC102553715 LOC100909913 Hapln4 Col2a1 Lamc3"
"B",5.89412612128052e-10,88,"Neuron projection ","Cpne5 Bcr Slc8a2 Whrn Clcn2 Tnn MAST1 Opn3 Nectin1 Slc6a1 Trim9 Atp1a2 Tspoap1 Drd2 Gabbr2 Cntn2 Hepacam Nr1d1 Sez6 Myo10 Syn1 Chrna7 Tmem108 Ank2 Tenm4 Grin1 Ncdn Tenm3 Glra1 RGD1306271 Nefm Rasgrf1 Stxbp1 Cnnm1 Cx3cl1 Clstn1 Clu Bace1 Map1b Slc12a5 Ank1 Chrna1 Cpne6 Camk2a Ntrk2 Ap3d1 Shank1 Cep250 Inpp5j Dag1 Lrrc4b Gnao1 Chrnd Kcna1 Ptprf Myh14 Atp1a3 Cntnap1 Mag Reln Crtc1 Kif1a Cbarp Lrp1 Lmtk2 Jph4 Dagla Unc80 Adgrl1 Atp1a1 Atp2b2 Bsn Epha10 Ulk1 LOC103689931 Myot Clic5 Tubb4a Ncmap LOC100909761 LOC100912538 Hcfc1 Ank3 Dab2ip Sptbn4 Kcnc1 L1cam Git1"
"B",1.02144681799834e-08,22,"I band ","Flnc Smtnl1 Actc1 Ank2 Jup Nrap Myh7 Ryr2 Actn2 Ank1 Actn3 Ryr1 Hrc Myl3 AC141959.1 Myoz1 Cacna1s Myot LOC100909761 Obscn Ldb3 AABR07030443.2"
"B",1.22732191385233e-08,11,"A band ","Klhl41 Smpx Smtnl1 Ank2 Myom2 Ank1 Myl3 Lmod3 Myh4 Myom1 Obscn"
"B",4.52108063786985e-08,223,"Plasma membrane ","Numa1 Prrt1 Cpne5 Rtkn2 Prrc2a Slc7a1 Flt1 Slc29a4 Nos1 Bcr Slc8a2 Whrn Clcn2 Tnk2 Slc7a4 Adcy5 Parm1 Gdpd2 Cacna1e Slc4a4 Mpz Grin2c Epn3 Opn3 Nlgn3 Sema6a Eno3 Notch3 Sema6d Bcorl1 Scn8a Slc6a11 Tacr1 Shh Gpr37l1 Nectin1 Slc6a1 Slc24a4 Sptb Sorcs2 Flnc Atp1a2 Klhl41 Rnf43 Kcnj10 Itga7 Slc9a1 Abra Stac3 Syn2 Gjd2 Drd2 Gabbr2 Antxr1 Hcn2 Abcg4 Cntn2 Tnks1bp1 Aplnr Kcnk9 Myo10 Slc4a5 Scube1 Chrna7 Ank2 Tenm4 Adgrf5 Clstn3 Atp1b2 Kcnq2 Grin1 Npc1 Frmpd1 Trdn Mmp15 Tenm3 Efr3b Pcdh8 Cdh24 Glra1 Sema4d Jag2 Iqsec3 Igf1r Ece1 Pear1 Abca2 Adgrb2 Sgcg Ret Kif21a Apba1 Adgrg1 Jup Stxbp1 Nlgn2 Kcng4 Cnnm1 Cx3cl1 Clstn1 Slc22a17 Fgfr3 Bace1 Shisa7 Atp11a Mvb12b Map1b Mtss2 Actn2 Baiap3 Slc12a5 Ank1 Chrna1 Tln2 Cpne6 Nisch Slc7a5 Ntrk2 Shank1 Bcar1 Notch1 Inpp5j Dag1 Slc6a9 Chrnd Tmem63b Kcna1 Pcdhgc3 Kcnc3 Celsr2 Pcdhb14 Tmem198 LOC108348233 LOC100911932 Agrn Atp1a3 Cntnap1 Grik5 Ryr1 Sipa1l3 Mag Grin2d Hjv Atrn Cxcl10 Crtc1 Irs2 Plec Cmya5 Cd22 Cbarp Lrp1 Lmtk2 Jph4 Ap2a1 Scn4b Dagla Gpr101 Wipf2 Lrrc55 Adgrl1 Trabd2b Scn7a Plxnb1 Atp1a1 Atp2b2 Pcdhga9 Nfasc Fat1 Dchs1 Slc6a5 ENSRNOG00000031662 Ncam1 Ptprt Dysf Slco3a1 Susd2 Apc2 Dnm1 Efna5 Atp6v0a1 Epha10 RT1-A1 Pcdhgb6 Pcdhb19 Clstn2 Fasn Cacna1s Rbm12 Myot Clic5 Ptprs Cntfr Ncmap Kcne4 AABR07044759.1 Atp9a LOC100909761 Slc6a17 Clip3 Slc29a2 Plcg2 Nlrx1 Cdh4 Itpr3 Ank3 Celsr3 Scamp5 Dab2ip Sptbn4 Kcnc1 Ttyh3 Ddr1 AABR07028997.1 Obscn Sptbn2 Adcy1 Unc5a Pcdh1 Cacna1g Kcnc4 Wdfy3 L1cam Atp2b3"
"B",4.52108063786985e-08,51,"Postsynapse ","Prrt1 Bcr Slc8a2 Grin2c Dlg5 Sorcs2 Atp1a2 Syn2 Drd2 Cntn2 Nr1d1 Sez6 Syn1 Chrna7 Tmem108 Ank2 Clstn3 Grin1 Glra1 Iqsec3 Dlgap3 Nlgn2 Clstn1 Shisa7 Map1b Actn2 Ank1 Chrna1 Camk2a Ntrk2 Ap3d1 Shank1 Dag1 Chrnd Dlgap4 Atp1a3 Grik5 Crtc1 Kif1a Dagla Adgrl1 Atp1a1 Atp2b2 Bsn Ptprt Apc2 Clstn2 Wasf1 Sptbn2 Adcy1 Git1"
